episode: 75 | reward: 6.0 | average reward: 3.506666666666667 | loss: 0.15721204719728918
episode: 76 | reward: 6.0 | average reward: 3.539473684210526 | loss: 0.13557370408448677
episode: 77 | reward: 1.0 | average reward: 3.5714285714285716 | loss: 0.16954696339341638
episode: 78 | reward: 5.0 | average reward: 3.5384615384615383 | loss: 0.15787577187429636
episode: 79 | reward: 4.0 | average reward: 3.5569620253164556 | loss: 0.17380446977124073
episode: 80 | reward: 7.0 | average reward: 3.5625 | loss: 0.14980221922898476
episode: 81 | reward: 4.0 | average reward: 3.6049382716049383 | loss: 0.15666651596542527
episode: 82 | reward: 5.0 | average reward: 3.6097560975609757 | loss: 0.1522090073819527
episode: 83 | reward: 6.0 | average reward: 3.6265060240963853 | loss: 0.1422602623187987
episode: 84 | reward: 3.0 | average reward: 3.6547619047619047 | loss: 0.131469777764948
episode: 85 | reward: 4.0 | average reward: 3.6470588235294117 | loss: 0.16528166858050317
episode: 86 | reward: 6.0 | average reward: 3.6511627906976742 | loss: 0.16842296163589346
episode: 87 | reward: 5.0 | average reward: 3.67816091954023 | loss: 0.1507079580385238
episode: 88 | reward: 0.0 | average reward: 3.6931818181818183 | loss: 0.1688816226859202
episode: 89 | reward: 2.0 | average reward: 3.651685393258427 | loss: 0.1464991246827279
episode: 90 | reward: 0.0 | average reward: 3.6333333333333333 | loss: 0.125582794143808
episode: 91 | reward: 2.0 | average reward: 3.5934065934065935 | loss: 0.14295238097669852
episode: 92 | reward: 3.0 | average reward: 3.5760869565217392 | loss: 0.1615814916526635
episode: 93 | reward: 1.0 | average reward: 3.5698924731182795 | loss: 0.14494619183954469
episode: 94 | reward: 0.0 | average reward: 3.5425531914893615 | loss: 0.17286759784706163
episode: 95 | reward: 6.0 | average reward: 3.5052631578947366 | loss: 0.13676044596969375
episode: 96 | reward: 4.0 | average reward: 3.53125 | loss: 0.12731855592800467
episode: 97 | reward: 0.0 | average reward: 3.536082474226804 | loss: 0.12613870582880762
episode: 98 | reward: 3.0 | average reward: 3.5 | loss: 0.14096117530473323
episode: 99 | reward: 2.0 | average reward: 3.494949494949495 | loss: 0.1263321109530508
episode: 100 | reward: 0.0 | average reward: 3.48 | loss: 0.14373977810548705
episode: 101 | reward: 6.0 | average reward: 3.4455445544554455 | loss: 0.13675676542204165
episode: 102 | reward: 4.0 | average reward: 3.4705882352941178 | loss: 0.11652773417083007
episode: 103 | reward: 4.0 | average reward: 3.4757281553398056 | loss: 0.14281165225546738
episode: 104 | reward: 2.0 | average reward: 3.480769230769231 | loss: 0.12371314409507342
episode: 105 | reward: 4.0 | average reward: 3.466666666666667 | loss: 0.1221011483251366
episode: 106 | reward: 0.0 | average reward: 3.4716981132075473 | loss: 0.14821368646703223
episode: 107 | reward: 1.0 | average reward: 3.439252336448598 | loss: 0.11441499371395089
