episode: 75 | reward: 1.0 | average reward: 0.9066666666666666 | loss: 0.1319773998838318
episode: 76 | reward: 2.0 | average reward: 0.9078947368421053 | loss: 0.13677793209238284
episode: 77 | reward: 1.0 | average reward: 0.922077922077922 | loss: 0.15234061997038278
episode: 78 | reward: 0.0 | average reward: 0.9230769230769231 | loss: 0.16997554888101926
episode: 79 | reward: 1.0 | average reward: 0.9113924050632911 | loss: 0.12599679942934813
episode: 80 | reward: 0.0 | average reward: 0.9125 | loss: 0.1493413923543243
episode: 81 | reward: 2.0 | average reward: 0.9012345679012346 | loss: 0.1578867301504113
episode: 82 | reward: 0.0 | average reward: 0.9146341463414634 | loss: 0.1262512266762145
episode: 83 | reward: 0.0 | average reward: 0.9036144578313253 | loss: 0.16967822417524955
episode: 84 | reward: 1.0 | average reward: 0.8928571428571429 | loss: 0.16483701745176008
episode: 85 | reward: 2.0 | average reward: 0.8941176470588236 | loss: 0.16735148994381846
episode: 86 | reward: 2.0 | average reward: 0.9069767441860465 | loss: 0.13575576630112793
episode: 87 | reward: 0.0 | average reward: 0.9195402298850575 | loss: 0.150131478743958
episode: 88 | reward: 0.0 | average reward: 0.9090909090909091 | loss: 0.15091287524357996
episode: 89 | reward: 2.0 | average reward: 0.898876404494382 | loss: 0.15321701467803073
episode: 90 | reward: 2.0 | average reward: 0.9111111111111111 | loss: 0.15856091273024667
episode: 91 | reward: 0.0 | average reward: 0.9230769230769231 | loss: 0.16713865070462308
episode: 92 | reward: 2.0 | average reward: 0.9130434782608695 | loss: 0.1699494116578213
episode: 93 | reward: 2.0 | average reward: 0.9247311827956989 | loss: 0.1584353631130436
episode: 94 | reward: 0.0 | average reward: 0.9361702127659575 | loss: 0.14305845573852716
episode: 95 | reward: 1.0 | average reward: 0.9263157894736842 | loss: 0.12953167326967255
episode: 96 | reward: 1.0 | average reward: 0.9270833333333334 | loss: 0.17365071049475278
episode: 97 | reward: 0.0 | average reward: 0.9278350515463918 | loss: 0.13694880541790716
episode: 98 | reward: 1.0 | average reward: 0.9183673469387755 | loss: 0.15420737517535002
episode: 99 | reward: 1.0 | average reward: 0.9191919191919192 | loss: 0.17490107776837371
episode: 100 | reward: 1.0 | average reward: 0.92 | loss: 0.1256087713590687
episode: 101 | reward: 1.0 | average reward: 0.9207920792079208 | loss: 0.15349145535247338
episode: 102 | reward: 1.0 | average reward: 0.9215686274509803 | loss: 0.13132071932661138
episode: 103 | reward: 1.0 | average reward: 0.9223300970873787 | loss: 0.1350754122570652
episode: 104 | reward: 2.0 | average reward: 0.9230769230769231 | loss: 0.125877844617334
episode: 105 | reward: 0.0 | average reward: 0.9333333333333333 | loss: 0.14415921586356964
episode: 106 | reward: 1.0 | average reward: 0.9245283018867925 | loss: 0.14515189250550053
episode: 107 | reward: 1.0 | average reward: 0.9252336448598131 | loss: 0.12753679199013268
episode: 108 | reward: 2.0 | average reward: 0.9259259259259259 | loss: 0.14985051907491606
episode: 109 | reward: 0.0 | average reward: 0.9357798165137615 | loss: 0.15122026515352072
episode: 110 | reward: 1.0 | average reward: 0.9272727272727272 | loss: 0.12893117082289246
episode: 111 | reward: 1.0 | average reward: 0.9279279279279279 | loss: 0.12582617320650746
episode: 112 | reward: 0.0 | average reward: 0.9285714285714286 | loss: 0.11595239449593803
episode: 113 | reward: 0.0 | average reward: 0.9203539823008849 | loss: 0.13371778501967307
episode: 114 | reward: 2.0 | average reward: 0.9122807017543859 | loss: 0.14901346935917106
episode: 115 | reward: 2.0 | average reward: 0.9217391304347826 | loss: 0.1274138254038673
episode: 116 | reward: 2.0 | average reward: 0.9310344827586207 | loss: 0.1470487550641579
episode: 117 | reward: 0.0 | average reward: 0.9401709401709402 | loss: 0.11624717933537226
episode: 118 | reward: 0.0 | average reward: 0.9322033898305084 | loss: 0.14078043365072898
episode: 119 | reward: 0.0 | average reward: 0.9243697478991597 | loss: 0.1393452398732836
episode: 120 | reward: 1.0 | average reward: 0.9166666666666666 | loss: 0.1358842902793123
episode: 121 | reward: 2.0 | average reward: 0.9173553719008265 | loss: 0.15181089270186726
episode: 122 | reward: 0.0 | average reward: 0.9262295081967213 | loss: 0.15067037464617872
episode: 123 | reward: 0.0 | average reward: 0.9186991869918699 | loss: 0.12474365821061856
episode: 124 | reward: 2.0 | average reward: 0.9112903225806451 | loss: 0.13333594198037516
episode: 125 | reward: 2.0 | average reward: 0.92 | loss: 0.14707391274895634
episode: 126 | reward: 1.0 | average reward: 0.9285714285714286 | loss: 0.14799962014991333
episode: 127 | reward: 0.0 | average reward: 0.9291338582677166 | loss: 0.11819375439873951
episode: 128 | reward: 0.0 | average reward: 0.921875 | loss: 0.1333445407012189
episode: 129 | reward: 0.0 | average reward: 0.9147286821705426 | loss: 0.11770085407933838
episode: 130 | reward: 2.0 | average reward: 0.9076923076923077 | loss: 0.12024197934579921
episode: 131 | reward: 0.0 | average reward: 0.916030534351145 | loss: 0.12109802151457787
episode: 132 | reward: 1.0 | average reward: 0.9090909090909091 | loss: 0.14726804967439583
episode: 133 | reward: 0.0 | average reward: 0.9097744360902256 | loss: 0.1172336815124884
episode: 134 | reward: 1.0 | average reward: 0.9029850746268657 | loss: 0.12427183164585924
episode: 135 | reward: 2.0 | average reward: 0.9037037037037037 | loss: 0.12797467006993346
episode: 136 | reward: 1.0 | average reward: 0.9117647058823529 | loss: 0.1240351320568617
episode: 137 | reward: 2.0 | average reward: 0.9124087591240876 | loss: 0.1461045803067821
episode: 138 | reward: 0.0 | average reward: 0.9202898550724637 | loss: 0.14816930850648194
episode: 139 | reward: 0.0 | average reward: 0.9136690647482014 | loss: 0.14080260869306635
episode: 140 | reward: 2.0 | average reward: 0.9071428571428571 | loss: 0.11567799800940241
episode: 141 | reward: 0.0 | average reward: 0.9148936170212766 | loss: 0.1472943521943501
episode: 142 | reward: 0.0 | average reward: 0.9084507042253521 | loss: 0.11845173809558304
episode: 143 | reward: 2.0 | average reward: 0.9020979020979021 | loss: 0.12547535295055237
episode: 144 | reward: 1.0 | average reward: 0.9097222222222222 | loss: 0.13286060858682497
episode: 145 | reward: 0.0 | average reward: 0.9103448275862069 | loss: 0.15071527158350703
episode: 146 | reward: 1.0 | average reward: 0.9041095890410958 | loss: 0.1459105948606716
episode: 147 | reward: 2.0 | average reward: 0.9047619047619048 | loss: 0.1488743190547604
episode: 148 | reward: 2.0 | average reward: 0.9121621621621622 | loss: 0.12617431047791788
episode: 149 | reward: 0.0 | average reward: 0.9194630872483222 | loss: 0.11761107578750346
episode: 150 | reward: 2.0 | average reward: 0.9133333333333333 | loss: 0.1480749401254383
episode: 151 | reward: 1.0 | average reward: 0.9205298013245033 | loss: 0.1392121989447504
episode: 152 | reward: 2.0 | average reward: 0.9210526315789473 | loss: 0.14520956541498503
episode: 153 | reward: 0.0 | average reward: 0.9281045751633987 | loss: 0.12359363130315187
episode: 154 | reward: 1.0 | average reward: 0.922077922077922 | loss: 0.1218633815771536
episode: 155 | reward: 0.0 | average reward: 0.9225806451612903 | loss: 0.1317843946989245
episode: 156 | reward: 2.0 | average reward: 0.9166666666666666 | loss: 0.1328240112747165
episode: 157 | reward: 1.0 | average reward: 0.9235668789808917 | loss: 0.13695372325717375
episode: 158 | reward: 0.0 | average reward: 0.9240506329113924 | loss: 0.15480499450171367
episode: 159 | reward: 0.0 | average reward: 0.9182389937106918 | loss: 0.1433504326038881
episode: 160 | reward: 0.0 | average reward: 0.9125 | loss: 0.1374008452076885
episode: 161 | reward: 2.0 | average reward: 0.906832298136646 | loss: 0.1537127285901798
episode: 162 | reward: 0.0 | average reward: 0.9135802469135802 | loss: 0.11600657603079
episode: 163 | reward: 2.0 | average reward: 0.9079754601226994 | loss: 0.12928816426780437
episode: 164 | reward: 0.0 | average reward: 0.9146341463414634 | loss: 0.13679520499663322
episode: 165 | reward: 1.0 | average reward: 0.9090909090909091 | loss: 0.1379158415362942
episode: 166 | reward: 1.0 | average reward: 0.9096385542168675 | loss: 0.12327546343371966
episode: 167 | reward: 0.0 | average reward: 0.9101796407185628 | loss: 0.12336382357528307
episode: 168 | reward: 2.0 | average reward: 0.9047619047619048 | loss: 0.15239174768344235
episode: 169 | reward: 1.0 | average reward: 0.9112426035502958 | loss: 0.13385371877918706
episode: 170 | reward: 0.0 | average reward: 0.9117647058823529 | loss: 0.1156154416444528
episode: 171 | reward: 2.0 | average reward: 0.9064327485380117 | loss: 0.13432384146908163
episode: 172 | reward: 1.0 | average reward: 0.9127906976744186 | loss: 0.12200150303087837
episode: 173 | reward: 1.0 | average reward: 0.9132947976878613 | loss: 0.125972128911733
episode: 174 | reward: 1.0 | average reward: 0.9137931034482759 | loss: 0.1321822942233344
episode: 175 | reward: 2.0 | average reward: 0.9142857142857143 | loss: 0.12366666650638534
episode: 176 | reward: 2.0 | average reward: 0.9204545454545454 | loss: 0.11961423120683061
episode: 177 | reward: 1.0 | average reward: 0.9265536723163842 | loss: 0.11565415457600724
episode: 178 | reward: 0.0 | average reward: 0.9269662921348315 | loss: 0.14146509949818106
episode: 179 | reward: 2.0 | average reward: 0.9217877094972067 | loss: 0.12311173871369901
episode: 180 | reward: 1.0 | average reward: 0.9277777777777778 | loss: 0.13170485855251293
episode: 181 | reward: 0.0 | average reward: 0.9281767955801105 | loss: 0.129609873744413
episode: 182 | reward: 1.0 | average reward: 0.9230769230769231 | loss: 0.11645279928222893
episode: 183 | reward: 0.0 | average reward: 0.9234972677595629 | loss: 0.11730351764153231
episode: 184 | reward: 0.0 | average reward: 0.9184782608695652 | loss: 0.12226079909355639
episode: 185 | reward: 2.0 | average reward: 0.9135135135135135 | loss: 0.13785251693504266
